epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.36237,2.71781,3.46764,1.84103,0.65674,0.55978,0.53044,0.16364,2.20458,1.58608,1.30416,2e-05,2e-05,2e-05
2,7.89464,2.32205,2.89623,1.64678,0.65182,0.56703,0.5276,0.16465,2.19627,1.58764,1.30386,5.9604e-05,5.9604e-05,5.9604e-05
3,8.56762,2.8295,4.66357,2.33252,0.64357,0.56341,0.53158,0.16616,2.19341,1.58615,1.30211,9.868e-05,9.868e-05,9.868e-05
4,9.24932,2.71947,5.15548,2.12075,0.58347,0.52174,0.48225,0.15564,2.13914,1.751,1.28931,0.000137228,0.000137228,0.000137228
5,9.90863,2.27266,2.12544,1.55192,0.67206,0.57428,0.56049,0.20071,2.0465,1.54572,1.256,0.000175248,0.000175248,0.000175248
6,10.7053,2.40084,3.05015,1.63766,0.75073,0.63289,0.62506,0.24591,1.96463,1.34182,1.22246,0.00021274,0.00021274,0.00021274
7,11.4601,2.03743,1.87521,1.42195,0.78947,0.67754,0.67695,0.2874,1.86851,1.1555,1.18649,0.000249704,0.000249704,0.000249704
8,12.2417,2.16376,2.57796,1.58662,0.82919,0.71014,0.71882,0.33336,1.7659,1.05786,1.15599,0.00028614,0.00028614,0.00028614
9,13.1569,2.03871,2.09183,1.65011,0.83977,0.72157,0.73391,0.35031,1.71758,1.03014,1.14708,0.000322048,0.000322048,0.000322048
10,14.0554,1.87631,1.69021,1.31541,0.85147,0.73736,0.75369,0.37272,1.66237,0.99519,1.13329,0.000357428,0.000357428,0.000357428
11,14.7957,2.42946,2.89524,1.77751,0.87041,0.75439,0.77079,0.39678,1.61422,0.97657,1.12142,0.00039228,0.00039228,0.00039228
12,15.6749,1.87518,2.42556,1.41333,0.86926,0.75883,0.77752,0.41161,1.57185,0.95837,1.10934,0.000426604,0.000426604,0.000426604
13,16.4619,2.23951,2.80414,1.64266,0.87665,0.76812,0.78583,0.42863,1.54351,0.94624,1.1003,0.0004604,0.0004604,0.0004604
14,17.3195,1.81397,1.31367,1.15657,0.88068,0.77555,0.79257,0.44167,1.52314,0.94704,1.09352,0.000493668,0.000493668,0.000493668
15,18.1839,1.93538,1.71145,1.34107,0.88666,0.7808,0.8051,0.45975,1.50254,0.93354,1.08575,0.000526408,0.000526408,0.000526408
16,19.0606,1.59924,1.43278,1.22614,0.89262,0.78308,0.82241,0.47085,1.49548,0.91682,1.07955,0.00055862,0.00055862,0.00055862
17,19.9442,1.80095,1.37386,1.18906,0.89592,0.79529,0.82409,0.47987,1.49746,0.90311,1.07465,0.000590304,0.000590304,0.000590304
18,20.7489,1.74528,1.11719,1.12293,0.89238,0.79529,0.83091,0.49236,1.48024,0.88182,1.06662,0.00062146,0.00062146,0.00062146
19,21.6535,1.54204,1.57369,1.32422,0.87681,0.79943,0.82601,0.49122,1.47403,0.87049,1.06356,0.000652088,0.000652088,0.000652088
20,22.5244,1.74092,1.03406,1.13246,0.86137,0.79917,0.82361,0.48411,1.4827,0.86957,1.06727,0.000682188,0.000682188,0.000682188
21,23.2662,1.66212,1.35088,1.23857,0.86215,0.79348,0.81074,0.47624,1.49726,0.88474,1.07751,0.00071176,0.00071176,0.00071176
22,23.8913,1.52549,1.10207,1.11537,0.84358,0.76812,0.79726,0.46352,1.50167,0.91458,1.08688,0.000740804,0.000740804,0.000740804
23,24.5953,1.74935,0.97736,1.13788,0.79523,0.74457,0.77253,0.44302,1.52694,0.95021,1.10272,0.00076932,0.00076932,0.00076932
24,25.229,1.72334,1.38912,1.22355,0.79567,0.69135,0.74733,0.41219,1.57422,0.99544,1.11976,0.000797308,0.000797308,0.000797308
25,25.9035,1.72713,1.38874,1.28979,0.78535,0.69746,0.73303,0.39469,1.62401,1.02996,1.1352,0.000824768,0.000824768,0.000824768
26,26.708,1.51577,1.01155,1.1325,0.77996,0.6558,0.70216,0.379,1.65361,1.07963,1.15138,0.0008517,0.0008517,0.0008517
27,27.4042,1.68151,1.13732,1.1314,0.83465,0.60507,0.69123,0.37515,1.66571,1.11052,1.15707,0.000878104,0.000878104,0.000878104
28,28.0165,1.8211,1.67525,1.41817,0.83465,0.60507,0.69123,0.37515,1.66571,1.11052,1.15707,0.00090398,0.00090398,0.00090398
29,28.7093,1.62087,1.22358,1.19164,0.84763,0.59964,0.68383,0.37021,1.67651,1.13162,1.16087,0.000929328,0.000929328,0.000929328
30,29.5089,1.51702,0.99635,1.07411,0.83128,0.63374,0.70258,0.37872,1.6762,1.13169,1.16048,0.000954148,0.000954148,0.000954148
31,30.2668,1.57081,1.10745,1.12705,0.83128,0.63374,0.70258,0.37872,1.6762,1.13169,1.16048,0.00097844,0.00097844,0.00097844
