epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.241,2.718,2.08383,1.6384,0.47823,0.33996,0.32406,0.15088,2.1173,1.5127,1.29054,0.0033251,0.0033251,0.0700741
2,179.833,1.98257,1.44316,1.22812,0.59689,0.38987,0.42825,0.22438,1.84209,1.28258,1.20168,0.00661449,0.00661449,0.0400301
3,262.721,1.86536,1.32267,1.18373,0.61905,0.42229,0.46621,0.24341,1.80934,1.29394,1.21284,0.00985988,0.00985988,0.00994218
4,344.863,1.78068,1.24836,1.15665,0.6331,0.43416,0.4781,0.2566,1.72945,1.20046,1.16486,0.009802,0.009802,0.009802
5,427.626,1.73596,1.20126,1.14467,0.65655,0.46694,0.52107,0.27836,1.69656,1.14015,1.14229,0.009736,0.009736,0.009736
6,510.488,1.71032,1.16776,1.12949,0.68705,0.46971,0.53063,0.28715,1.65951,1.08473,1.14549,0.00967,0.00967,0.00967
7,593.335,1.68212,1.1379,1.11937,0.67246,0.47046,0.53708,0.29161,1.63714,1.0742,1.1199,0.009604,0.009604,0.009604
8,676.61,1.66858,1.11302,1.11413,0.66592,0.48589,0.55047,0.29812,1.61995,1.07584,1.11694,0.009538,0.009538,0.009538
9,759.485,1.64066,1.09721,1.1061,0.69328,0.49739,0.56512,0.31521,1.57446,1.02409,1.10999,0.009472,0.009472,0.009472
10,842.738,1.63355,1.07668,1.10129,0.69305,0.49425,0.55944,0.30798,1.58189,1.06606,1.10989,0.009406,0.009406,0.009406
11,924.927,1.61349,1.06794,1.09641,0.70453,0.50963,0.57773,0.31645,1.5664,1.01903,1.10737,0.00934,0.00934,0.00934
12,1006.98,1.61786,1.06622,1.097,0.71124,0.51187,0.5815,0.32741,1.54446,1.0003,1.09978,0.009274,0.009274,0.009274
13,1089.44,1.5987,1.04898,1.0943,0.71118,0.51146,0.58602,0.32831,1.53888,1.00067,1.09242,0.009208,0.009208,0.009208
14,1171.81,1.5852,1.03442,1.08547,0.71599,0.50962,0.58664,0.32861,1.5284,0.98873,1.09409,0.009142,0.009142,0.009142
15,1254.36,1.58672,1.0276,1.08179,0.72586,0.49667,0.57286,0.31954,1.55963,0.98411,1.10226,0.009076,0.009076,0.009076
16,1337.07,1.58683,1.03219,1.0858,0.72259,0.53448,0.60805,0.33933,1.52265,0.96597,1.08563,0.00901,0.00901,0.00901
17,1420.04,1.57701,1.02001,1.07852,0.72346,0.52771,0.6041,0.34079,1.51193,0.95192,1.0822,0.008944,0.008944,0.008944
18,1502.95,1.56844,1.01322,1.0771,0.71712,0.52479,0.60096,0.33752,1.5213,0.95514,1.0929,0.008878,0.008878,0.008878
19,1585.29,1.55519,1.01116,1.07541,0.72035,0.52895,0.60563,0.34178,1.49763,0.96451,1.07763,0.008812,0.008812,0.008812
