epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1296,2.74727,2.82445,1.66079,0.23303,0.15972,0.08499,0.03899,2.08132,2.04589,1.27765,0.0033251,0.0033251,0.0700741
2,175.73,2.00243,1.99145,1.22993,0.1651,0.16383,0.10214,0.04901,1.96809,1.97547,1.23755,0.00661449,0.00661449,0.0400301
3,261.369,1.87845,1.79703,1.1839,0.26237,0.20317,0.15069,0.07816,1.80844,1.71818,1.19891,0.00985988,0.00985988,0.00994218
4,344.63,1.78478,1.6825,1.15285,0.26598,0.24357,0.17609,0.09321,1.70919,1.55689,1.15544,0.009802,0.009802,0.009802
5,429.462,1.74294,1.61057,1.14069,0.31544,0.2638,0.20747,0.10948,1.68282,1.50708,1.14652,0.009736,0.009736,0.009736
6,513.819,1.70835,1.55525,1.12547,0.31312,0.28845,0.22051,0.12061,1.65162,1.48461,1.12827,0.00967,0.00967,0.00967
7,597.87,1.6844,1.51814,1.11747,0.31811,0.27864,0.21338,0.11587,1.63742,1.4598,1.1209,0.009604,0.009604,0.009604
8,682.199,1.67237,1.49371,1.11252,0.34548,0.28121,0.23509,0.12755,1.63796,1.42628,1.12574,0.009538,0.009538,0.009538
9,766.092,1.64635,1.46183,1.10424,0.36098,0.28688,0.24263,0.1363,1.57685,1.40008,1.10676,0.009472,0.009472,0.009472
10,850.64,1.63503,1.43533,1.09697,0.35909,0.30358,0.26482,0.14576,1.5777,1.38928,1.10155,0.009406,0.009406,0.009406
11,935.207,1.61516,1.41331,1.09158,0.38793,0.31907,0.2772,0.15324,1.56564,1.33526,1.11066,0.00934,0.00934,0.00934
12,1018.73,1.61399,1.41515,1.09155,0.40228,0.31289,0.27045,0.14854,1.54818,1.33426,1.10145,0.009274,0.009274,0.009274
13,1102.61,1.59602,1.38469,1.08907,0.37726,0.32505,0.27169,0.15163,1.52124,1.33599,1.08959,0.009208,0.009208,0.009208
14,1186.18,1.58297,1.37813,1.08042,0.35934,0.32424,0.27556,0.15425,1.54175,1.31039,1.0863,0.009142,0.009142,0.009142
